id,name,description,price,category
152,Wallet,Minimalist slim wallet,29.99,Accessories
153,Smart Scale,Bluetooth body scale,59.99,Electronics
154,Popcorn Maker,Retro popcorn machine,49.99,Appliances
155,Dining Bench,Wood dining bench,179.99,Furniture
156,Necklace,Pearl pendant necklace,69.99,Accessories
157,Dash Cam,HD night vision dash cam,99.99,Electronics
158,Rice Cooker,Digital rice cooker,79.99,Appliances
159,Office Chair,Leather executive chair,299.99,Furniture
160,Backpack,Tactical backpack,79.99,Accessories
161,Drone,Mini drone with camera,149.99,Electronics
162,Electric Skillet,Large non-stick skillet,59.99,Appliances
163,Coffee Table,Round glass coffee table,239.99,Furniture
164,Bracelet,Silver cuff bracelet,34.99,Accessories
165,Smart Plug,Energy monitoring smart plug,17.99,Electronics
166,Hair Dryer,Ionic professional dryer,59.99,Appliances
167,Bookshelf,Adjustable corner bookshelf,99.99,Furniture
168,Watch,Chronograph watch,189.99,Accessories
169,Tablet,8 inch compact tablet,199.99,Electronics
170,Juicer,Cold press juicer,139.99,Appliances
171,Console Table,Glass top console table,229.99,Furniture
172,Hat,Bucket hat,19.99,Accessories
173,Wireless Speaker,Portable bass speaker,79.99,Electronics
174,Vacuum Cleaner,Robot vacuum cleaner,349.99,Appliances
175,Shoe Rack,Bamboo shoe rack,59.99,Furniture
176,Scarf,Fleece winter scarf,19.99,Accessories
177,Camera,Point and shoot camera,199.99,Electronics
178,Deep Fryer,Digital deep fryer,109.99,Appliances
179,Armchair,Tufted armchair,319.99,Furniture
180,Sunglasses,Aviator sunglasses,59.99,Accessories
181,Smart Light,Motion sensor smart light,24.99,Electronics
182,Blender,Portable blender,39.99,Appliances
183,Storage Cabinet,Bathroom storage cabinet,199.99,Furniture
184,Belt,Suede dress belt,29.99,Accessories
185,Streaming Box,Smart TV box,79.99,Electronics
186,Air Purifier,HEPA filter purifier,139.99,Appliances
187,TV Stand,Wood and metal TV stand,249.99,Furniture
188,Bracelet,Gold bangle bracelet,49.99,Accessories
189,Smartwatch,GPS running watch,199.99,Electronics
190,Kettle,Glass electric kettle,39.99,Appliances
191,Nightstand,2-drawer nightstand,149.99,Furniture
192,Necklace,Diamond cut necklace,99.99,Accessories
193,Wireless Keyboard,Slim wireless keyboard,49.99,Electronics
194,Microwave,Retro style microwave,149.99,Appliances
195,Bed Frame,Metal platform bed,299.99,Furniture
196,Wallet,Travel RFID wallet,39.99,Accessories
197,Headphones,Gaming headset,99.99,Electronics
198,Toaster,4-slice toaster,59.99,Appliances
199,Bookshelf,Wall-mounted bookshelf,79.99,Furniture
200,Backpack,Leather travel backpack,99.99,Accessories
